index,fieldID,descDitheredRA,descDitheredDec,expMJD,filter,fiveSigmaDepth,fiveSigmaDepth.1,rotSkyPos,rotTelPos,FWHMeff,obsHistID,mag,snid_in,chip,xpixel,ypixel
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,26.229872907217327,MS_9172_2138,"R:0,1 S:2,2",2511.418491345887,3036.262036131062
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,26.03312292973143,MS_9172_2262,"R:0,1 S:2,2",3090.937009313121,3571.6525786251777
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,24.62576924662647,MS_9172_2312,"R:1,1 S:0,0",1532.3656468148715,895.1026413237735
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,28.59028164051866,MS_9172_2484,"R:1,0 S:0,2",2685.162437124475,3905.279135700369
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,26.261852732039696,MS_9172_2501,"R:1,1 S:0,1",3093.2213370731947,2870.957995314567
242,1188,55.89435238424397,-32.392570018177686,60603.311274,lssti,23.6068597483,23.6068597483,4.171996,-0.707617,0.6226470000000001,692613,26.542773760491382,MS_9172_1418,"R:4,4 S:0,1",860.4996565817296,2828.8571192257227
242,1188,55.89435238424397,-32.392570018177686,60603.311274,lssti,23.6068597483,23.6068597483,4.171996,-0.707617,0.6226470000000001,692613,24.67594952399807,MS_9172_1461,"R:4,4 S:0,1",718.7824128656682,2171.1899452702314
243,1297,55.372699649059676,-30.627860009174743,60604.296518,lssti,23.286793092800004,23.286793092800004,4.958007,0.205436,0.951444,693404,26.91681413424579,MS_9172_423,"R:4,3 S:0,0",3669.2316307535643,1940.905572204354
243,1297,55.372699649059676,-30.627860009174743,60604.296518,lssti,23.286793092800004,23.286793092800004,4.958007,0.205436,0.951444,693404,22.060825411848136,MS_9172_473,"R:4,3 S:0,1",740.2319790543268,2176.5229194854282
243,1297,55.372699649059676,-30.627860009174743,60604.296518,lssti,23.286793092800004,23.286793092800004,4.958007,0.205436,0.951444,693404,25.60840162671245,MS_9172_564,"R:4,2 S:0,2",1403.1944057506257,3657.0666641706975
