,obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,descDitheredRotTelPos,airmass,fiveSigmaDepth,expMJD,descDitheredRotSkyPos,fieldRA,fieldDec,rotSkyPos,rotTelPos,d1,d2,d3,d4
1342,729435,z,0.838205,57.611770117932274,-32.001984689237005,-37.618346180227384,1.05557380439,22.7722013008,60658.065199,53.108470714673096,57.23951505760047,-30.8641478038867,92.42410841145066,-1.1300446593365228,1.7007019848254803,1.3668325705027324,1.0552437808874109,0.3292398542124249
1343,729437,z,0.832707,55.8486880490998,-32.148891067908544,-37.53245980673727,1.04356299927,22.8072735053,60658.06618,51.62776079556911,55.12719155429167,-33.448015572588176,82.77257705669244,-1.0441582858464122,1.1561002339967672,0.19648854127376747,2.163071626913811,1.8289723544658625
1344,731752,i,0.671216,59.39903989149253,-32.47393002508626,-22.147798162340997,1.02164882091,23.4941849519,60661.157341,256.14261964629617,58.43974704684052,-33.82473532288669,230.23111515540305,-53.176900515445865,3.244604247854956,2.913738762440567,1.8942047541901579,1.2747364207093128
1345,731753,i,0.675935,55.86942583737593,-33.6491810544586,-21.907786141960695,1.03330823862,23.4874991208,60661.157789,257.4638006681716,55.12719155429167,-33.448015572588176,224.795579144556,-52.93688849506556,2.6514769970993655,1.6528266865501458,3.2028483500045595,2.434071196036036
1347,731782,i,0.678477,58.79942151530124,-32.35223378940047,-19.562555294931208,1.03967248086,23.4716087729,60661.171116,253.26238468700672,58.43974704684052,-33.82473532288669,227.05211612489924,-50.59165764803607,2.7392428806898828,2.3954363534545022,1.5137170858302011,0.7628292741231291
1349,731790,i,0.687363,56.15906819157492,-32.90536724481977,-18.910357436733793,1.06200470584,23.4463384176,60661.174745,253.10993051208632,55.12719155429167,-33.448015572588176,222.91816833725082,-49.93945978983866,1.9101405180640767,0.9152627926795134,2.4636830466101056,1.7979717505487138
1350,731791,i,0.681088,58.55706368538653,-33.30082271501906,-18.80298514592628,1.04621464531,23.4640947504,60661.175194,256.01962614859355,58.43974704684052,-33.82473532288669,226.49989940195212,-49.83208749903114,3.1589855315745408,2.5153217700419974,2.3486514949989155,1.3827915015254388
1351,733722,r,0.796725,59.67309737001897,-30.982921954817314,14.719916010485493,1.11766895998,23.8481602681,60664.203599,277.86002265544386,60.47300237442128,-31.197781127991377,189.8868649690613,-73.94478712399379,3.1486441552379127,3.2928917047631296,1.4343409159041371,1.7520591575663056
1364,744506,z,0.677071,59.11057834280496,-32.198050846730766,39.382139456758104,1.00273117045,23.4266726284,60680.06088,97.73025975699625,60.47300237442128,-31.197781127991377,74.32494462106308,-2.765094319301353,2.9075039727875334,2.6424054668193913,1.526437685219859,0.9614203032113697
1369,749664,z,0.810288,55.88966494295423,-31.54568110119481,-53.465384765294225,1.19046928554,22.829194651,60687.152347,208.0280297322888,57.23951505760047,-30.8641478038867,271.63946255886185,10.743932686954658,0.5537697644799615,0.4639009563761282,1.8844099441891011,1.850678384665571
1372,749703,z,0.846266,55.50779813258683,-31.311398658765818,-48.19583462769654,1.27909233963,22.7396091782,60687.171073,210.6584248179289,57.23951505760047,-30.8641478038867,274.84848457783056,16.01348282455235,0.52381758086856,0.8060418157066107,2.155301595809582,2.230295812019727
1373,750198,z,0.744321,55.19194103223165,-30.498428843254697,-43.5777947989421,1.02498119317,22.9924113262,60688.075282,223.84851270847864,54.04475968773052,-30.452706811203253,260.70135447513735,-6.3814320348285705,0.8566418883884896,1.6528446490169633,2.4647778248210153,2.831411948386539
1376,750233,z,0.753323,54.24885695206787,-31.99006716709828,-44.41225053177063,1.04534587435,22.9727556774,60688.091913,225.61996242092084,55.12719155429167,-33.448015572588176,268.0423189294715,-7.215887767657101,1.7915459411879564,1.4851509422526863,3.3480419419708074,3.1811779571742975
1387,753582,r,0.665488,58.415814728653416,-33.585640034978596,-18.176054726494133,1.11028881969,24.1576631085,60693.116727,250.79966374496675,58.43974704684052,-33.82473532288669,292.2924138337065,22.872131406945385,3.294572839382141,2.576373878318845,2.60941382309272,1.6237058219618892
1389,753586,r,0.671776,58.61319430193815,-30.038802100000744,-17.894159491289766,1.12750470626,24.1254556934,60693.118538,243.69354788800186,57.23951505760047,-30.8641478038867,285.97933566383705,23.15402664214975,2.447678840835446,2.976634945487506,1.0967796330014328,2.030367905715367
1396,755808,g,0.992048,56.38713974411731,-31.498813153553108,-66.62049574149793,1.22802435698,24.6498602967,60696.136345,193.94736037732483,57.23951505760047,-30.8641478038867,259.1058389030365,-0.844196015345755,0.5986282250551564,0.5996366159718451,1.4662932984282846,1.460192640803346
1398,759546,r,0.700102,55.24468279845989,-32.6243314463081,-17.582012084502495,1.2500433966,24.5190066476,60701.122713,244.08034387624042,55.12719155429167,-33.448015572588176,266.68148687025626,4.0217626513617875,1.7465303189372987,0.8929033644970997,2.849490303324529,2.4108073896870112
1399,759588,r,0.737496,55.285403025155674,-33.59051017623721,-21.751884325905596,1.36140479007,24.42427726,60701.142386,238.33639718291275,55.12719155429167,-33.448015572588176,259.6497477379542,-0.1481095900413178,2.659978418370025,1.7001493435899298,3.4603436943278565,2.7813397596935823
1403,761816,r,0.712241,59.601493078818784,-31.438079627269246,-81.88592486872749,1.17096319453,24.5353231871,60704.110111,180.18821366690668,60.47300237442128,-31.197781127991377,252.71094236002236,-9.28197357689885,3.110816955940395,3.114505784275067,1.4379230038998188,1.4736074128529986
1414,766971,i,0.645807,59.44013223834803,-32.211744538034395,25.774735597078134,1.19790955494,23.9266671081,60711.097723,288.119336201439,60.47300237442128,-31.197781127991377,286.9553119720629,25.782126752635325,3.170341066006502,2.921580069997977,1.7241054746881588,1.2381193225960494
1415,766972,i,0.659923,57.497363596199,-30.99398004026334,25.827734193127736,1.24128984323,23.8840608759,60711.098172,285.75008804952694,57.23951505760047,-30.8641478038867,285.47776840997955,25.835125348684922,1.283536052579037,1.6254418275995752,0.43089877549148403,1.0935026966412318
1418,767014,i,0.695308,57.26461240433316,-29.964661361310817,26.410031200319192,1.35290556249,23.8036598764,60711.117954,282.953556221091,57.23951505760047,-30.8641478038867,283.8629441601828,26.41742235587638,1.503185247000831,2.3060336020229473,1.2138933128899128,2.1307284005638283
1422,778020,z,0.652747,58.57768422615778,-30.664414716504094,-79.42340956103472,1.08761134812,22.9234439124,60725.017014,184.90828386657583,57.23951505760047,-30.8641478038867,264.77199042642377,0.3379305075681595,2.2386256871191206,2.575053968733337,0.5988926286460103,1.4238138453205627
1426,778049,z,0.666015,59.100923856706856,-30.995469730530687,-76.40930778396951,1.12419601037,23.3679717344,60725.030099,187.36992744331104,57.23951505760047,-30.8641478038867,266.2976624432981,3.3520322846333683,2.6579914682826136,2.8282790193953984,0.943705369103131,1.3748493870299898
1430,778058,z,0.676827,56.25231957065656,-32.60061099358969,-75.81165550786855,1.15441768261,23.3477622538,60725.034181,189.4519569813296,55.12719155429167,-33.448015572588176,270.1652994477697,3.9496845607343296,1.6149102937794706,0.637353134537374,2.1835342577080876,1.5946432075879127
1434,781334,z,0.826366,58.09014208416498,-33.689288100117764,90.9006136341978,1.13861783585,23.1234425829,60730.02507,358.2191014612843,58.43974704684052,-33.82473532288669,269.03536937999223,1.305713519323633,3.2170054614752988,2.4365344834341807,2.6903657543032296,1.690984547352312
1436,781365,g,0.979555,54.09256819011175,-32.53747104456627,-3.8601312573553823,1.23788804571,24.6304258618,60730.040993,257.59701076472015,55.12719155429167,-33.448015572588176,267.84550792684405,4.826768353520594,2.2345454951288635,1.7000006607478513,3.6601952478456883,3.3471666385341634
1440,781418,g,1.031825,55.66338833271078,-31.175951435996893,0.7026754399484416,1.34851729583,24.5389259685,60730.065394,258.10459082669763,57.23951505760047,-30.8641478038867,266.91124294610376,9.389575050824417,0.33772174824161605,0.8725088882421485,2.008699335426547,2.154181865934932
1441,781419,g,1.062493,54.720905447764935,-30.12973050208801,0.7526946554633624,1.41521758845,24.4693109379,60730.065842,256.76351505101854,54.04475968773052,-30.452706811203253,265.5185544334792,9.43959426633934,1.4036819553354523,2.1675156961786266,2.9544065341657855,3.3742161279308283
