obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
209081,z,0.694539,58.82294001873152,-33.19052833945638,1.04766492706,22.9223569762,59862.363069,3.242812547402268,2.6595056596504434,2.2987658297706335,1.3776848673946507
209084,z,0.691424,59.43182640838303,-32.27282183899534,1.03997051946,22.9294012895,59862.364431,3.1868080623655533,2.9186658923146753,1.7623852275271747,1.2427524414060387
209085,z,0.698217,56.73643340232157,-30.11099478218723,1.05672185285,22.883372509,59862.36488,1.0920092186481618,1.991550207038805,1.4050764743407165,2.177112731450211
209086,z,0.706281,54.94781605666435,-30.54741673473838,1.07679318116,22.8422343912,59862.365329,1.0109840613318253,1.7084023911763513,2.661093981552534,2.985644803119803
211142,i,0.95533,58.7534190473381,-32.61791431900264,1.31586960887,23.1939031757,59866.163377,2.844578486937756,2.4076832977489953,1.7399780102065294,0.8872926118166744
211146,i,0.929652,55.68683716510343,-32.66294880169992,1.25693293448,23.2394863411,59866.165311,1.6840956222539527,0.7138061264835084,2.574287372027222,2.06386057859773
211147,i,0.945352,56.139770682946384,-30.895660482618894,1.29315135207,23.1892658792,59866.165757,0.1589216993384249,1.1107579129716867,1.5987887778915935,1.933359562605259
211180,i,0.85779,57.94738038248877,-32.12620193922136,1.21819318201,23.2758104448,59866.180599,2.0053236274118706,1.6551299962103068,1.1270939949041705,0.133848734914555
211197,i,0.798233,55.079879182998035,-32.4241972884689,1.15896465348,23.3838655013,59866.188413,1.6251028593721382,0.8865608897391047,2.8632628534679583,2.5067221512661635
211229,i,0.913459,56.3373994371232,-32.26800899351624,1.1110181323,23.2648294,59866.203465,1.3001392197894908,0.39173942339894424,1.9003830609713965,1.4331664920703149
211303,i,0.829012,57.21588617264775,-29.906506145105038,1.04719133209,23.3809702845,59866.237653,1.5146816790195048,2.3387468514808925,1.2855323239901228,2.1988164271397386
211342,i,0.821924,56.12708851304938,-31.73750737100461,1.02012774767,23.4009106815,59866.256587,0.7454473559611589,0.28381590842292775,1.760989460575167,1.6120797955342954
211472,i,0.759957,55.70897021412892,-30.027285648318617,1.0173440422,23.4884834814,59866.318412,1.0045062979886379,1.9884169976071693,2.200341427480125,2.78317480466131
212046,r,0.843175,58.86013077854136,-31.594783584237522,1.15307059846,23.8215098397,59867.202886,2.5151782213133806,2.464335491116374,0.945479013428608,0.8358298303073245
212047,r,0.827814,57.83971543515273,-31.685826577883812,1.12249674304,23.8674069097,59867.203335,1.7143653839965953,1.594077780004639,0.6993551519988613,0.3424102179788844
